COLPAL,2514.65,2113.8,2215.33,2278.14,2328.9,2379.66,2451.94,~~~*~~~,2645.53,2809.86,2354,2398.84,2426.58,2449,2471.42,2503.34,~~~*~~~,2588.84,2661.42
CONCOR,895.9,737.85,771.37,792.11,808.88,825.64,849.5,~~~*~~~,913.42,967.69,816.4,831.39,840.66,848.15,855.64,866.31,~~~*~~~,894.89,919.14
COROMANDEL,1246.4,1103.4,1143.08,1167.63,1187.47,1207.32,1235.57,~~~*~~~,1311.23,1375.47,1175,1197.79,1211.88,1223.28,1234.67,1250.89,~~~*~~~,1294.34,1331.22
CROMPTON,316.45,279.2,287.53,292.68,296.85,301.02,306.95,~~~*~~~,322.83,336.32,287.15,293.6,297.6,300.82,304.05,308.65,~~~*~~~,320.95,331.4
CUB,153.15,142.65,148.59,152.26,155.23,158.19,162.42,~~~*~~~,173.74,183.34,145.7,150.92,154.14,156.75,159.36,163.07,~~~*~~~,173.02,181.46
CUMMINSIND,1998.4,1780,1842.52,1881.19,1912.45,1943.71,1988.21,~~~*~~~,2107.42,2208.61,1888.3,1925.26,1948.12,1966.6,1985.08,2011.39,~~~*~~~,2081.86,2141.68
DABUR,569.05,516.7,526.92,533.24,538.35,543.46,550.73,~~~*~~~,570.22,586.76,526.5,534.41,539.3,543.25,547.2,552.83,~~~*~~~,567.91,580.7
DALBHARAT,2390.7,2109.6,2185.38,2232.26,2270.15,2308.04,2361.98,2430.7,2506.48,2629.14,2137.2,2203.23,2244.08,2277.1,2310.12,2357.12,2417,2483.03,2589.92
DEEPAKNTR,2447.95,2108.4,2201.29,2258.76,2305.2,2351.64,2417.77,~~~*~~~,2594.89,2745.24,2179.4,2255.53,2302.63,2340.7,2378.77,2432.96,~~~*~~~,2578.13,2701.37
DELTACORP,152.3,133.2,138.16,141.22,143.7,146.18,149.71,154.2,159.16,167.18,135.55,139.53,141.99,143.98,145.96,148.79,152.4,156.38,162.81
DIVISLAB,4014.75,3501.25,3607.63,3673.44,3726.62,3779.81,3855.54,~~~*~~~,4058.38,4230.56,3565.55,3656.75,3713.17,3758.78,3804.38,3869.3,~~~*~~~,4043.2,4190.83
DIXON,6378.4,5213.1,5579.35,5805.93,5989.05,6172.17,6432.89,6765,7131.25,7724.07,6220,6314.26,6372.57,6419.7,6466.83,6533.93,6619.4,6713.66,6866.23
DLF,752.95,612.05,639.89,657.11,671.02,684.94,704.76,~~~*~~~,757.84,802.89,670.2,684.31,693.04,700.1,707.16,717.2,~~~*~~~,744.11,766.96
DRREDDY,5835.65,5370,5492.91,5568.95,5630.4,5691.85,5779.35,~~~*~~~,6013.71,6212.65,5471.2,5570.23,5631.49,5681,5730.51,5801.01,~~~*~~~,5989.83,6150.11
EICHERMOT,3877.05,3672.1,3796.68,3873.76,3936.05,3998.34,4087.03,4200,4324.58,4526.24,3847.55,3925.54,3973.78,4012.78,4051.77,4107.28,4178,4255.99,4382.22
ESCORTS,2804.85,~~~*~~~,3011.5,3065.32,3108.82,3152.33,3214.26,3293.15,3380.15,3520.98,~~~*~~~,2985.74,3023.63,3054.25,3084.87,3128.47,3184,3245.24,3344.37
EXIDEIND,329.35,270.8,283.41,291.22,297.52,303.83,312.81,~~~*~~~,336.86,357.28,278.5,289.3,295.98,301.38,306.77,314.46,~~~*~~~,335.05,352.52
FEDERALBNK,154.6,145.1,148.45,150.52,152.2,153.88,156.26,~~~*~~~,162.65,168.08,149.35,151.7,153.15,154.32,155.5,157.17,~~~*~~~,161.65,165.45
FSL,193.25,159.55,167.42,172.29,176.23,180.16,185.76,~~~*~~~,200.77,213.51,172.2,177.09,180.11,182.55,184.99,188.47,~~~*~~~,197.79,205.69
GAIL,163.65,122.9,132.67,138.71,143.6,148.49,155.44,~~~*~~~,174.07,189.89,134.85,141.8,146.1,149.57,153.05,158,~~~*~~~,171.25,182.5
GLENMARK,892.7,730.05,760.48,779.31,794.52,809.74,831.4,~~~*~~~,889.43,938.69,773.2,793.45,805.98,816.1,826.22,840.64,~~~*~~~,879.25,912.02
GMRINFRA,83.9,56.4,62.32,65.99,68.95,71.91,76.13,~~~*~~~,87.42,97.01,69.6,72.41,74.15,75.55,76.95,78.95,~~~*~~~,84.31,88.85
GNFC,762.65,679.05,698.86,711.12,721.02,730.93,745.03,~~~*~~~,782.81,814.88,697.05,712.61,722.24,730.02,737.81,748.89,~~~*~~~,778.56,803.76
GODREJCP,1219.85,974.3,1013.12,1037.14,1056.55,1075.96,1103.6,~~~*~~~,1177.62,1240.46,1025.8,1052.47,1068.97,1082.3,1095.63,1114.62,~~~*~~~,1165.47,1208.63
GODREJPROP,2244.3,1823.15,1882.7,1919.55,1949.32,1979.1,2021.5,~~~*~~~,2135.05,2231.45,1864.2,1914.07,1944.92,1969.85,1994.78,2030.28,~~~*~~~,2125.37,2206.08
GRANULES,413.65,360.1,371.88,379.16,385.05,390.94,399.32,~~~*~~~,421.78,440.84,365.45,375.96,382.47,387.72,392.98,400.47,~~~*~~~,420.51,437.53
GRASIM,2079.5,1913.85,1969.17,2003.39,2031.05,2058.71,2098.09,~~~*~~~,2203.57,2293.11,2034.9,2061.65,2078.2,2091.57,2104.95,2123.99,~~~*~~~,2175,2218.3
GUJGASLTD,506.75,417.65,428.35,434.97,440.32,445.68,453.3,~~~*~~~,473.7,491.03,431.25,438.74,443.38,447.12,450.87,456.21,~~~*~~~,470.49,482.62
HAL,2998.85,2040.55,2231.52,2349.66,2445.15,2540.64,2676.58,~~~*~~~,3040.72,3349.84,2585,2647.48,2686.13,2717.38,2748.62,2793.09,~~~*~~~,2912.23,3013.37
HAVELLS,1405.5,1253.7,1287.05,1307.68,1324.35,1341.02,1364.76,~~~*~~~,1428.35,1482.32,1312.55,1332.01,1344.05,1353.78,1363.5,1377.36,~~~*~~~,1414.46,1445.95
HCLTECH,1432.8,1268.4,1325.39,1360.65,1389.15,1417.65,1458.22,~~~*~~~,1566.89,1659.15,1420.1,1441.29,1454.4,1465,1475.6,1490.68,~~~*~~~,1531.09,1565.4
HDFCAMC,3303.6,2757,2882.89,2960.78,3023.72,3086.67,3176.29,~~~*~~~,3416.34,3620.12,3012.1,3077.79,3118.43,3151.27,3184.12,3230.88,~~~*~~~,3356.14,3462.47
HDFCBANK,1682.2,1489,1543.85,1577.78,1605.2,1632.62,1671.67,~~~*~~~,1776.25,1865.02,1644.05,1662.3,1673.6,1682.72,1691.85,1704.85,~~~*~~~,1739.65,1769.2
HDFCLIFE,646.75,627,646.73,658.94,668.8,678.66,692.71,710.6,730.33,762.26,634,646.74,654.63,661,667.37,676.44,688,700.74,721.37
HEROMOTOCO,3990.3,3130.1,3381.04,3536.28,3661.75,3787.22,3965.85,~~~*~~~,4444.34,4850.52,3752.05,3856.21,3920.65,3972.72,4024.8,4098.95,~~~*~~~,4297.56,4466.15
HINDALCO,587,491.65,521.47,539.92,554.83,569.73,590.96,~~~*~~~,647.82,696.08,541.65,559.67,570.82,579.83,588.83,601.66,~~~*~~~,636.02,665.18
HINDCOPPER,283.3,156.5,185.36,203.22,217.65,232.08,252.63,~~~*~~~,307.66,354.38,185.3,207.37,221.02,232.05,243.08,258.79,~~~*~~~,300.87,336.58
HINDPETRO,420,300.3,332.42,352.29,368.35,384.41,407.27,~~~*~~~,468.52,520.51,358.7,377.04,388.38,397.55,406.72,419.77,~~~*~~~,454.74,484.42
HINDUNILVR,2620.05,2465,2512.7,2542.2,2566.05,2589.9,2623.85,~~~*~~~,2714.8,2792,2507,2544.78,2568.16,2587.05,2605.94,2632.84,~~~*~~~,2704.88,2766.04
HONAUT,36855.2,~~~*~~~,35565.08,35928.46,36222.15,36515.84,36933.98,37466.6,38053.98,39004.74,~~~*~~~,35490.36,35807.52,36063.85,36320.18,36685.13,37150,37662.66,38492.48
IBULHSGFIN,215.55,176.4,190.18,198.71,205.6,212.49,222.3,~~~*~~~,248.58,270.89,199.2,207.6,212.8,217,221.2,227.18,~~~*~~~,243.2,256.8
ICICIBANK,993.7,914.75,945.18,964.01,979.22,994.44,1016.1,~~~*~~~,1074.13,1123.39,989.2,1002.06,1010.02,1016.45,1022.88,1032.04,~~~*~~~,1056.56,1077.38
ICICIGI,1395.6,1360.2,1391.3,1410.55,1426.1,1441.65,1463.79,1492,1523.1,1573.45,1386.8,1407.13,1419.71,1429.88,1440.04,1454.51,1472.95,1493.28,1526.19
ICICIPRULI,541,~~~*~~~,521.24,531.03,538.95,546.87,558.14,572.5,588.34,613.97,~~~*~~~,512.96,517.64,521.42,525.21,530.59,537.45,545.01,557.26
IDEA,17.1,12.65,13.5,14.03,14.45,14.87,15.48,~~~*~~~,17.1,18.47,12.9,13.69,14.18,14.58,14.97,15.53,~~~*~~~,17.04,18.32
IDFC,124.95,115.1,118.44,120.51,122.18,123.84,126.22,~~~*~~~,132.59,137.99,120.2,122.34,123.66,124.72,125.79,127.31,~~~*~~~,131.39,134.84
IDFCFIRSTB,86.7,82.7,85,86.42,87.58,88.73,90.36,~~~*~~~,94.75,98.48,85.95,87.48,88.43,89.2,89.97,91.06,~~~*~~~,93.98,96.47
IEX,164.2,132.9,142.2,147.95,152.6,157.25,163.87,~~~*~~~,181.6,196.65,140.65,148.12,152.74,156.48,160.21,165.53,~~~*~~~,179.77,191.86
IGL,430.85,382.65,391.68,397.26,401.78,406.29,412.71,~~~*~~~,429.93,444.54,393.15,399.7,403.75,407.02,410.3,414.96,~~~*~~~,427.45,438.05
INDHOTEL,456.05,409,418.68,424.66,429.5,434.34,441.23,~~~*~~~,459.68,475.34,416.9,424.71,429.54,433.45,437.36,442.92,~~~*~~~,457.81,470.46
INDIACEM,265.45,213,227.63,236.68,244,251.32,261.73,~~~*~~~,289.63,313.32,241.2,249.18,254.11,258.1,262.09,267.77,~~~*~~~,282.98,295.89
INDIAMART,2743.15,2547.15,2633.25,2686.52,2729.58,2772.63,2833.92,~~~*~~~,2998.1,3137.48,2628.5,2695.41,2736.8,2770.25,2803.7,2851.33,~~~*~~~,2978.91,3087.2
INDIGO,2954.95,2524.2,2638.61,2709.39,2766.6,2823.81,2905.25,~~~*~~~,3123.41,3308.61,2819.55,2864.26,2891.92,2914.28,2936.63,2968.46,~~~*~~~,3053.71,3126.08
INDUSINDBK,1643.2,1450.05,1489.9,1514.55,1534.48,1554.4,1582.77,~~~*~~~,1658.75,1723.25,1527.55,1549.11,1562.45,1573.22,1584,1599.35,~~~*~~~,1640.46,1675.35
INDUSTOWER,222.15,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~
INFY,1532.55,1393,1440.2,1469.4,1493,1516.6,1550.2,~~~*~~~,1640.2,1716.6,1521,1537.99,1548.5,1557,1565.5,1577.59,~~~*~~~,1609.99,1637.5
INTELLECT,822.5,673.8,713.96,738.8,758.88,778.95,807.54,~~~*~~~,884.11,949.1,748.25,770.84,784.81,796.1,807.39,823.47,~~~*~~~,866.54,903.09
IOC,132.7,99.15,107.36,112.44,116.55,120.66,126.5,~~~*~~~,142.16,155.46,117.35,121.27,123.69,125.65,127.61,130.4,~~~*~~~,137.87,144.21
IPCALAB,1113.4,~~~*~~~,1069.52,1087.16,1101.42,1115.69,1135.99,1161.85,1190.37,1236.54,~~~*~~~,1062.95,1076.53,1087.5,1098.47,1114.1,1134,1155.95,1191.47
IRCTC,905.9,674,731.23,766.64,795.25,823.86,864.6,~~~*~~~,973.73,1066.36,778.65,811.18,831.31,847.58,863.84,887,~~~*~~~,949.03,1001.69
ITC,473.95,434.15,442.11,447.04,451.02,455.01,460.68,~~~*~~~,475.86,488.76,444.45,449.98,453.41,456.17,458.94,462.88,~~~*~~~,473.43,482.39
JINDALSTEL,735.75,642.5,672.09,690.4,705.2,720,741.06,767.9,797.49,845.4,685.05,700.38,709.86,717.52,725.19,736.1,750,765.33,790.14
JKCEMENT,3930.6,3430,3563.58,3646.21,3713,3779.79,3874.88,~~~*~~~,4129.58,4345.79,3715.4,3781.62,3822.59,3855.7,3888.81,3935.95,~~~*~~~,4062.22,4169.41
JSWSTEEL,829.4,760.65,792.53,812.26,828.2,844.14,866.84,~~~*~~~,927.63,979.24,820.1,837.95,849,857.92,866.85,879.56,~~~*~~~,913.6,942.5
JUBLFOOD,555.55,506.1,525.18,536.98,546.53,556.07,569.65,~~~*~~~,606.03,636.92,552.65,560.74,565.75,569.8,573.85,579.61,~~~*~~~,595.04,608.15
