MRF,107812.6,113143.07,116440.74,119105.98,121771.21,125565.79,130399.35,135729.82,144357.96
MUTHOOTFIN,1290.0,1341.44,1373.26,1398.98,1424.69,1461.31,1507.95,1559.39,1642.64
NATIONALUM,90.1,100.86,107.52,112.9,118.28,125.94,135.7,146.46,163.88
NAUKRI,4520.5,4708.96,4825.55,4919.77,5014.0,5148.16,5319.05,5507.51,5812.55
NAVINFLUOR,3585.1,3678.17,3735.74,3782.27,3828.81,3895.06,3979.45,4072.52,4223.16
NESTLEIND,2388.31,2453.61,2494.01,2526.65,2559.3,2605.79,2665.0,2730.3,2835.99
NMDC,166.75,177.58,184.28,189.7,195.12,202.83,212.65,223.48,241.02
NTPC,245.95,262.36,272.52,280.73,288.93,300.62,315.5,331.91,358.48
OBEROIRLTY,1247.95,1308.04,1345.21,1375.25,1405.29,1448.07,1502.55,1562.64,1659.89
OFSS,3957.75,4061.54,4125.75,4177.65,4229.55,4303.43,4397.55,4501.34,4669.35
ONGC,188.15,193.78,197.26,200.08,202.89,206.9,212.0,217.63,226.74
PAGEIND,36529.55,37086.43,37430.94,37709.38,37987.81,38384.23,38889.2,39446.08,40347.46
PEL,851.0,881.83,900.91,916.32,931.74,953.69,981.65,1012.48,1062.39
PERSISTENT,6239.15,6550.87,6743.71,6899.58,7055.44,7277.34,7560.0,7871.72,8376.29
PETRONET,194.4,201.72,206.24,209.9,213.56,218.77,225.4,232.72,244.56
PFC,302.0,331.91,350.42,365.38,380.33,401.63,428.75,458.66,507.08
PIDILITIND,2420.85,2499.38,2547.96,2587.22,2626.49,2682.39,2753.6,2832.13,2959.24
PIIND,3316.55,3458.96,3547.07,3618.28,3689.48,3790.86,3920.0,4062.41,4292.93
PNB,75.6,80.82,84.04,86.65,89.26,92.97,97.7,102.92,111.36
POLYCAB,5092.65,5243.77,5337.26,5412.82,5488.39,5595.97,5733.0,5884.12,6128.74
POWERGRID,205.7,213.78,218.78,222.82,226.87,232.62,239.95,248.03,261.12
RAIN,141.6,145.0,147.1,148.8,150.5,152.92,156.0,159.4,164.9
RAMCOCEM,959.1,982.49,996.96,1008.65,1020.34,1036.99,1058.2,1081.59,1119.44
RBLBANK,226.75,242.55,252.32,260.23,268.13,279.37,293.7,309.5,335.08
RECLTD,327.85,357.8,376.33,391.3,406.27,427.59,454.75,484.7,533.17
RELIANCE,2327.0,2394.73,2436.63,2470.5,2504.37,2552.58,2614.0,2681.73,2791.37
SAIL,87.8,96.76,102.3,106.78,111.25,117.63,125.75,134.71,149.2
SBICARD,720.8,736.85,746.78,754.8,762.82,774.25,788.8,804.85,830.82
SBILIFE,1332.05,1369.77,1393.11,1411.98,1430.84,1457.69,1491.9,1529.62,1590.69
SBIN,555.15,579.99,595.36,607.78,620.19,637.88,660.4,685.24,725.44
SHREECEM,25600.0,26461.4,26994.3,27425.0,27855.7,28468.9,29250.0,30111.4,31505.7
SIEMENS,3413.05,3609.39,3730.85,3829.02,3927.2,4066.96,4245.0,4441.34,4759.15
SRF,2324.05,2372.42,2402.34,2426.52,2450.71,2485.14,2529.0,2577.37,2655.66
SUNPHARMA,1171.0,1194.82,1209.56,1221.47,1233.39,1250.35,1271.95,1295.77,1334.34
SUNTV,655.35,673.42,684.59,693.62,702.66,715.52,731.9,749.97,779.21
SYNGENE,675.6,696.46,709.37,719.8,730.23,745.08,764.0,784.86,818.63
TATACHEM,948.1,989.38,1014.91,1035.55,1056.19,1085.57,1123.0,1164.28,1231.09
TATACOMM,1649.05,1694.59,1722.76,1745.52,1768.29,1800.71,1842.0,1887.54,1961.24
TATACONSUM,906.0,950.37,977.82,1000.0,1022.18,1053.77,1094.0,1138.37,1210.18
TATAMOTORS,656.55,691.09,712.46,729.72,746.99,771.58,802.9,837.44,893.34
TATAPOWER,257.05,278.25,291.37,301.98,312.58,327.67,346.9,368.1,402.43
TATASTEEL,121.5,126.16,129.04,131.38,133.71,137.02,141.25,145.91,153.46
TCS,3356.05,3491.27,3574.92,3642.52,3710.13,3806.39,3929.0,4064.22,4283.08
TECHM,1143.5,1188.23,1215.91,1238.28,1260.64,1292.49,1333.05,1377.78,1450.19
TITAN,3259.25,3372.0,3441.75,3498.12,3554.5,3634.76,3737.0,3849.75,4032.25
TORNTPHARM,2024.65,2092.03,2133.71,2167.4,2201.09,2249.05,2310.15,2377.53,2486.59
TORNTPOWER,784.2,846.22,884.59,915.6,946.61,990.76,1047.0,1109.02,1209.41
TRENT,2491.4,2625.67,2708.74,2775.88,2843.01,2938.59,3060.35,3194.62,3411.96
TVSMOTOR,1647.05,1744.15,1804.22,1852.78,1901.33,1970.45,2058.5,2155.6,2312.78
UBL,1547.0,1604.11,1639.44,1668.0,1696.56,1737.21,1789.0,1846.11,1938.56
ULTRACEMCO,8545.05,9012.55,9301.77,9535.52,9769.28,10102.08,10526.0,10993.5,11750.23
UPL,554.8,568.95,577.7,584.78,591.85,601.92,614.75,628.9,651.8
VEDL,230.75,239.16,244.37,248.58,252.78,258.77,266.4,274.81,288.43
VOLTAS,811.15,854.02,880.54,901.97,923.41,953.93,992.8,1035.67,1105.06
WHIRLPOOL,1293.0,1369.55,1416.9,1455.18,1493.45,1547.94,1617.35,1693.9,1817.8
WIPRO,384.25,406.23,419.83,430.82,441.82,457.47,477.4,499.38,534.97
ZEEL,242.15,255.73,264.13,270.92,277.72,287.38,299.7,313.28,335.27
